"Month","Product variant SKU","Product title","Product variant SKU at time of sale","Shipping country","Net items sold"
"2025-08-01","BCK-W","BUCK","BCK-W","Australia",4
"2025-08-01",,"BEAN CELLAR Bulk","BNP-50","United Arab Emirates",1
"2025-08-01","BD1-MS","BIRD Metal Screen","BD1-MS","United Kingdom",3
"2025-08-01","KEY_CAS","KEY Travel Case","KEY_CAS","United Arab Emirates",1
"2025-08-01","EPF-55-100","EPF (10,000)","EPF-55-100","United Arab Emirates",1
"2025-08-01","MNR","MOONRAKER™","MNR","Thailand",1
"2025-08-01","EPF-55-100","EPF (10,000)","EPF-55-100","United Kingdom",2
"2025-08-01","EG1-SS","EG-1 Stainless Shaft Spring Wiper","EG1-SS","United Arab Emirates",5
"2025-08-01","SPC","Spring Clean™","SPC","United Arab Emirates",1
"2025-08-01","SPC","Spring Clean™","SPC","United States",4
"2025-08-01","BSH","Blind Shaker","BSH","Thailand",1
"2025-08-01","TPM-B","Leather Tamping Mat","TPM-B","Australia",2
"2025-08-01","EG1-B","The EG-1","EG1-B","United Kingdom",4
"2025-08-01","PS-25","Puck Screens (25)","PS-25","United Arab Emirates",1
"2025-09-01","TPM-B","Leather Tamping Mat","TPM-B","United Kingdom",25
"2025-09-01","HG2_2","The HG-2","HG2_2","United Kingdom",1
"2025-09-01","EG1","The EG-1","EG1","Italy",2
"2025-09-01","UNB-B20","Unibasket","UNB-B20","United Kingdom",25
"2025-09-01","BCK-W","BUCK","BCK-W","Hong Kong",6
"2025-09-01","TPM-B","Leather Tamping Mat","TPM-B","Hong Kong",11
"2025-09-01","KEY-2-B","The Key","KEY-2-B","United Kingdom",2
"2025-09-01","MNR-U","MOONRAKER™","MNR-U","United States",7
"2025-09-01","BSH-B","Blind Shaker","BSH-B","Italy",5
"2025-09-01","UNF-2-R","Unifilter","UNF-2-R","Italy",1
"2025-09-01","MNR","MOONRAKER™","MNR","Hong Kong",9
"2025-09-01","EG1-B","The EG-1","EG1-B","Italy",2
"2025-09-01","Eg1-DB2","The EG-1","Eg1-DB2","Singapore",4
"2025-09-01","BD1-PAPER","BIRD Paper Filters","BD1-PAPER","Singapore",40
"2025-09-01","KEY-2-B","The Key","KEY-2-B","Hong Kong",6
"2025-09-01","BD1","The BIRD","BD1","Hong Kong",8
"2025-09-01","BCK-R","BUCK","BCK-R","Italy",2
"2025-09-01","KEY-BNF","Bean Feeder for KEY","KEY-BNF","Australia",2
"2025-09-01","HG2B_2","The HG-2","HG2B_2","Italy",1
"2025-09-01","EG1","The EG-1","EG1","Hong Kong",7
"2025-09-01","PH","EPF Dock","PH","Hong Kong",2
"2025-09-01","UNB-B20","Unibasket","UNB-B20","Australia",6
"2025-09-01","KEY_CAS","KEY Travel Case","KEY_CAS","United Kingdom",1
"2025-09-01","KEY_CAS","KEY Travel Case","KEY_CAS","Hong Kong",1
"2025-09-01","BD1-SIB","WW X Sibarist BIRD Paper Filters","BD1-SIB","Singapore",10
"2025-09-01","BNG-B2","BEAN CELLAR Glass","BNG-B","United States",3
"2025-09-01","BNG","BEAN CELLAR Glass","BNG","United Kingdom",2
"2025-09-01","MNR-U","MOONRAKER™","MNR-U","Hong Kong",9
"2025-09-01","UNB-B16","Unibasket","UNB-B16","Australia",4
"2025-09-01","PSC-B","Spring Clean™","PSC-B","United States",12
"2025-09-01","DB2","EG-1 Burrs","DB2","Italy",2
"2025-09-01","BNP-50","BEAN CELLAR Bulk","BNP-50","United Kingdom",2
"2025-09-01","BD1","The BIRD","BD1","Italy",2
"2025-09-01","BSH-B","Blind Shaker","BSH-B","Australia",8
"2025-09-01","BNG-B2","BEAN CELLAR Glass","BNG-B","Italy",1
"2025-09-01","BNG","BEAN CELLAR Glass","BNG","Italy",1
"2025-09-01","EG1_RFR","EG-1 Refresh Kit","EG1_RFR","Hong Kong",2
"2025-09-01","BSH","Blind Shaker","BSH","Italy",5
"2025-09-01","PS-25","Puck Screens (25)","PS-25","United Kingdom",2
"2025-09-01","BNP-B50","BEAN CELLAR Bulk","BNP-B50","Hong Kong",2
"2025-09-01","MNR","MOONRAKER™","MNR","Italy",2
"2025-09-01","BNP-12-C","BEAN CELLAR Polymer","BNP-12-C","United Kingdom",5
"2025-09-01","UNF-2-R","Unifilter","UNF-2-R","Hong Kong",1
"2025-09-01","EPF-58-100","EPF (10,000)","EPF-58-100","United States",1
"2025-09-01","KEY-2-B","The Key","KEY-2-B","United States",10
"2025-09-01","EG1-B-DB2","The EG-1","EG1-B-DB2","United Kingdom",2
"2025-09-01","DB1","EG-1 Burrs","DB1","United Kingdom",2
"2025-09-01","UNB-B20","Unibasket","UNB-B20","Italy",4
"2025-09-01","EG1-B","The EG-1","EG1-B","Hong Kong",3
"2025-09-01","MNR-U","MOONRAKER™","MNR-U","United Kingdom",2
"2025-09-01","RNT","Really Nice Tamper","RNT","Singapore",5
"2025-09-01","MNR-P-S","MOONRAKER™ Spare Needles","MNR-P-S","Singapore",5
"2025-09-01","BD1-PAPER","BIRD Paper Filters","BD1-PAPER","Hong Kong",2
"2025-09-01","EG1-SS","EG-1 Stainless Shaft Spring Wiper","EG1-SS","Hong Kong",1
"2025-09-01","KEY-2-W","The Key","KEY-2-W","Italy",2
"2025-09-01","PH-B","EPF Dock","PH-B","Hong Kong",5
"2025-09-01","UNB-B16","Unibasket","UNB-B16","United Kingdom",25
"2025-09-01","PSC-B","Spring Clean™","PSC-B","United Kingdom",34
"2025-09-01","BNG-B2","BEAN CELLAR Glass","BNG-B","United Kingdom",2
"2025-09-01","KEY-2-B","The Key","KEY-2-B","Singapore",2
"2025-09-01","BSH","Blind Shaker","BSH","United States",18
"2025-09-01","HG2_2","The HG-2","HG2_2","Italy",1
"2025-09-01","UNB-B20","Unibasket","UNB-B20","United States",14
"2025-09-01","EG1-B","The EG-1","EG1-B","United Kingdom",1
"2025-09-01","EG1-B-DB2","The EG-1","EG1-B-DB2","Singapore",3
"2025-09-01","PSC-B","Spring Clean™","PSC-B","Singapore",10
"2025-09-01","BD1","The BIRD","BD1","Australia",1
"2025-09-01","DB1","EG-1 Burrs","DB1","Singapore",2
"2025-09-01","PS-25","Puck Screens (25)","PS-25","United States",4
"2025-09-01","UNB-B24","Unibasket","UNB-B24","United States",2
"2025-09-01","UNB-B28","Unibasket","UNB-B28","Australia",1
"2025-09-01","KEY-2-B","The Key","KEY-2-B","Italy",2
"2025-09-01","BCK-R","BUCK","BCK-R","Hong Kong",6
"2025-09-01","BD1-NP","BIRD Travel Sleeve","BD1-NP","Hong Kong",8
"2025-09-01","UNF-2-T","Unifilter","UNF-2-T","Italy",1
"2025-09-01","RNT","Really Nice Tamper","RNT","Hong Kong",25
"2025-09-01","UNF-2-R","Unifilter","UNF-2-R","Australia",5
"2025-09-01","BCK-W","BUCK","BCK-W","Italy",2
"2025-09-01","PS-25","Puck Screens (25)","PS-25","Hong Kong",2
"2025-09-01","BNP-50","BEAN CELLAR Bulk","BNP-50","Hong Kong",2
"2025-09-01","RNT-B","Really Nice Tamper","RNT-B","Singapore",5
"2025-09-01","PS-25","Puck Screens (25)","PS-25","Australia",1
"2025-09-01","RNT","Really Nice Tamper","RNT","United States",14
"2025-09-01","GNF-T-S","Grounds Funnel & Standard Tumbler","GNF-T-S","Hong Kong",2
"2025-09-01","BCK-R","BUCK","BCK-R","United States",6
"2025-09-01","KEY-2-W","The Key","KEY-2-W","Singapore",1
"2025-09-01","Eg1-DB2","The EG-1","Eg1-DB2","United Kingdom",1
"2025-09-01","CFB","Coffee Brush","CFB","United States",15
"2025-09-01","RNT-B","Really Nice Tamper","RNT-B","United Kingdom",25
"2025-09-01","PSC-B","Spring Clean™","PSC-B","Italy",2
"2025-09-01","UNF-2-T","Unifilter","UNF-2-T","Australia",4
"2025-09-01","RNT-B","Really Nice Tamper","RNT-B","Italy",3
"2025-09-01","BSH-B","Blind Shaker","BSH-B","United Kingdom",45
"2025-09-01","PS-25","Puck Screens (25)","PS-25","Italy",1
"2025-09-01","UNB-B28","Unibasket","UNB-B28","United States",2
"2025-09-01","UNB-B24","Unibasket","UNB-B24","Australia",1
"2025-09-01","BNPS-50","BEAN CELLAR SHORTY Bulk","BNPS-50","Hong Kong",5
"2025-09-01","TPM-N","Leather Tamping Mat","TPM-N","Australia",4
"2025-09-01","UNB-B20","Unibasket","UNB-B20","Hong Kong",5
"2025-09-01","BD1","The BIRD","BD1","Singapore",16
"2025-09-01","TPM-N","Leather Tamping Mat","TPM-N","Hong Kong",11
"2025-09-01","MNR","MOONRAKER™","MNR","United States",6
"2025-09-01","RNT-B","Really Nice Tamper","RNT-B","Hong Kong",31
"2025-09-01","KEY-2-W","The Key","KEY-2-W","United Kingdom",2
"2025-09-01","PH","EPF Dock","PH","United States",1
"2025-09-01","SPC","Spring Clean™","SPC","Hong Kong",1
"2025-09-01","KEY-2-W","The Key","KEY-2-W","Hong Kong",5
"2025-09-01","DB2","EG-1 Burrs","DB2","Hong Kong",1
"2025-09-01","RNT-B","Really Nice Tamper","RNT-B","Australia",2
"2025-09-01","BD1-SIB","WW X Sibarist BIRD Paper Filters","BD1-SIB","Hong Kong",2
"2025-09-01","BD1-GK","BIRD Gasket Kit","BD1-GK","Hong Kong",1
"2025-09-01","BNG","BEAN CELLAR Glass","BNG","Hong Kong",5
"2025-09-01","RNT","Really Nice Tamper","RNT","Australia",1
"2025-09-01","RNT","Really Nice Tamper","RNT","Italy",2
"2025-09-01","HG2B_2","The HG-2","HG2B_2","United Kingdom",1
"2025-09-01","MTWRK","Magic Tumbler Wiper Replacement Kit","MTWRK","Singapore",5
"2025-09-01","MNR-P-S","MOONRAKER™ Spare Needles","MNR-P-S","Australia",5
"2025-09-01","BSH-B","Blind Shaker","BSH-B","United States",22
"2025-09-01","MNR-U","MOONRAKER™","MNR-U","Italy",1
"2025-09-01","RNT-B","Really Nice Tamper","RNT-B","United States",49
"2025-09-01","UNB-B16","Unibasket","UNB-B16","Italy",2
"2025-09-01","UNF-2-R","Unifilter","UNF-2-R","United States",6
"2025-10-01","BSH-B","Blind Shaker","BSH-B","Australia",10
"2025-10-01","LKG","Looking Glass","LKG","United States",2
"2025-10-01","UNF-2-T","Unifilter","UNF-2-T","Hong Kong",15
"2025-10-01","BNG","BEAN CELLAR Glass","BNG","United States",5
"2025-10-01","EG1-B","The EG-1","EG1-B","United States",1
"2025-10-01","BNG-B2","BEAN CELLAR Glass","BNG-B","United Kingdom",2
"2025-10-01","PH","EPF Dock","PH","United States",2
"2025-10-01","BCK-R","BUCK","BCK-R","Malaysia",5
"2025-10-01","KEY-2-B","The Key","KEY-2-B","United States",1
"2025-10-01","DB1","EG-1 Burrs","DB1","United Kingdom",4
"2025-10-01","UNB-B16","Unibasket","UNB-B16","Malaysia",10
"2025-10-01","UNF-2-R","Unifilter","UNF-2-R","Hong Kong",2
"2025-10-01","BD1-PAPER","BIRD Paper Filters","BD1-PAPER","Hong Kong",10
"2025-10-01","UNB-B28","Unibasket","UNB-B28","Hong Kong",5
"2025-10-01","BD1_A","The BIRD","BD1_A","United States",2
"2025-10-01","UNB-B16","Unibasket","UNB-B16","Norway",5
"2025-10-01","EG1-B-DB2","The EG-1","EG1-B-DB2","United Kingdom",2
"2025-10-01","UNB-B16","Unibasket","UNB-B16","Italy",10
"2025-10-01","BSH","Blind Shaker","BSH","Malaysia",5
"2025-10-01","BD1-SIB","WW X Sibarist BIRD Paper Filters","BD1-SIB","Norway",20
"2025-10-01","TPM-B","Leather Tamping Mat","TPM-B","Italy",5
"2025-10-01","PSC-B","Spring Clean™","PSC-B","Australia",12
"2025-10-01","BNP-50","BEAN CELLAR Bulk","BNP-50","United Kingdom",4
"2025-10-01","PSC-B","Spring Clean™","PSC-B","Hong Kong",10
"2025-10-01","UNB-B20","Unibasket","UNB-B20","United States",2
"2025-10-01","RNT","Really Nice Tamper","RNT","Italy",10
"2025-10-01","DB2","EG-1 Burrs","DB2","Malaysia",2
"2025-10-01","PSC-B","Spring Clean™","PSC-B","United States",8
"2025-10-01","BNP-SP","BEAN CELLAR™ Spare Glass","BNP-SP","Hong Kong",1
"2025-10-01","BSH","Blind Shaker","BSH","United States",9
"2025-10-01","HG2_2","The HG-2","HG2_2","United Kingdom",2
"2025-10-01","BCK-R","BUCK","BCK-R","Hong Kong",20
"2025-10-01","PSC-B","Spring Clean™","PSC-B","Malaysia",15
"2025-10-01","BCK-W","BUCK","BCK-W","Australia",4
"2025-10-01","PH","EPF Dock","PH","Norway",4
"2025-10-01","BNG-B2","BEAN CELLAR Glass","BNG-B","United States",2
"2025-10-01","BNP-B50","BEAN CELLAR Bulk","BNP-B50","United Kingdom",3
"2025-10-01","KEY-2-W","The Key","KEY-2-W","South Korea",1
"2025-10-01","KEY-2-B","The Key","KEY-2-B","Hong Kong",3
"2025-10-01","UNB-B16","Unibasket","UNB-B16","United States",2
"2025-10-01","KEY-2-B","The Key","KEY-2-B","United Kingdom",1
"2025-10-01","MNR-U","MOONRAKER™","MNR-U","United States",1
"2025-10-01","BNP-12-C","BEAN CELLAR Polymer","BNP-12-C","United Kingdom",4
"2025-10-01","UNF-2-T","Unifilter","UNF-2-T","Turkey",1
"2025-10-01","BNP-12-C","BEAN CELLAR Polymer","BNP-12-C","Hong Kong",1
"2025-10-01","BD1-PAPER","BIRD Paper Filters","BD1-PAPER","United Kingdom",5
"2025-10-01","UNB-B20","Unibasket","UNB-B20","Australia",8
"2025-10-01","BCK-R","BUCK","BCK-R","United States",8
"2025-10-01","EG1-B","The EG-1","EG1-B","Malaysia",2
"2025-10-01","BNP-50","BEAN CELLAR Bulk","BNP-50","United States",4
"2025-10-01","BNG","BEAN CELLAR Glass","BNG","United Kingdom",3
"2025-10-01","TPM-B","Leather Tamping Mat","TPM-B","Hong Kong",4
"2025-10-01","MNR-U","MOONRAKER™","MNR-U","Hong Kong",6
"2025-10-01","BCK-W","BUCK","BCK-W","Norway",5
"2025-10-01","BNF","Bean Funnel","BNF","United States",2
"2025-10-01","UNB-B20","Unibasket","UNB-B20","Malaysia",10
"2025-10-01","UNF-2-T","Unifilter","UNF-2-T","Italy",5
"2025-10-01","EG1-B","The EG-1","EG1-B","Hong Kong",4
"2025-10-01","UNB-B24","Unibasket","UNB-B24","Australia",4
"2025-10-01","UNB-B20","Unibasket","UNB-B20","Italy",10
"2025-10-01","BSH","Blind Shaker","BSH","Australia",6
"2025-10-01","BCK-W","BUCK","BCK-W","Malaysia",5
"2025-10-01","KEY-2-B","The Key","KEY-2-B","France",-1
"2025-10-01","UNB-B20","Unibasket","UNB-B20","Norway",15
"2025-10-01","MNR","MOONRAKER™","MNR","Italy",5
"2025-10-01","HG2_2","The HG-2","HG2_2","South Korea",1
"2025-10-01","KEY-2-B","The Key","KEY-2-B","South Korea",1
"2025-10-01","RNT-B","Really Nice Tamper","RNT-B","United States",52
"2025-10-01","RNT","Really Nice Tamper","RNT","Turkey",2
"2025-10-01","KEY-2-W","The Key","KEY-2-W","Hong Kong",2
"2025-10-01","BNG","BEAN CELLAR Glass","BNG","Italy",2
"2025-10-01","BSH-B","Blind Shaker","BSH-B","Hong Kong",1
"2025-10-01","BD1","The BIRD","BD1","Norway",5
"2025-10-01","UNB-B20","Unibasket","UNB-B20","Hong Kong",52
"2025-10-01","EG1-B-DB2","The EG-1","EG1-B-DB2","France",-1
"2025-10-01","RNT-B","Really Nice Tamper","RNT-B","Hong Kong",10
"2025-10-01","MNR","MOONRAKER™","MNR","United States",9
"2025-10-01","UNB-B24","Unibasket","UNB-B24","Italy",5
"2025-10-01","LKG","Looking Glass","LKG","Hong Kong",3
"2025-10-01","TPM-N","Leather Tamping Mat","TPM-N","United Kingdom",10
"2025-10-01","EG1","The EG-1","EG1","United Arab Emirates",1
"2025-10-01","UNF-2-T","Unifilter","UNF-2-T","United States",6
"2025-10-01","BNG","BEAN CELLAR Glass","BNG","Hong Kong",2
"2025-10-01","TPM-N","Leather Tamping Mat","TPM-N","Hong Kong",5
"2025-10-01","EG1","The EG-1","EG1","Malaysia",3
"2025-10-01","UNF-2-R","Unifilter","UNF-2-R","United States",2
"2025-10-01","BNF","Bean Funnel","BNF","Norway",10
"2025-10-01","BNG-B2","BEAN CELLAR Glass","BNG-B","Turkey",1
"2025-10-01","BSH-B","Blind Shaker","BSH-B","United States",54
"2025-10-01","LKG","Looking Glass","LKG","Italy",5
"2025-10-01","BCK-R","BUCK","BCK-R","Norway",5
"2025-10-01","BD1","The BIRD","BD1","Hong Kong",10
"2025-10-01","UNB-B28","Unibasket","UNB-B28","Norway",10
"2025-10-01","BSH-B","Blind Shaker","BSH-B","Malaysia",5
"2025-10-01","EG1-B","The EG-1","EG1-B","United Kingdom",2
"2025-10-01","MNR","MOONRAKER™","MNR","Hong Kong",1
"2025-10-01","EG1-B-DB2","The EG-1","EG1-B-DB2","Hong Kong",2
"2025-10-01","EG1","The EG-1","EG1","France",-1
"2025-10-01","MGT-L","Magic Tumbler Lid","MGT-L","Norway",2
"2025-10-01","UNB-B28","Unibasket","UNB-B28","Australia",2
"2025-10-01","EG1","The EG-1","EG1","United States",1
"2025-10-01","BCK-W","BUCK","BCK-W","Hong Kong",17
"2025-10-01","BNPS-50","BEAN CELLAR SHORTY Bulk","BNPS-50","United Kingdom",2
"2025-10-01","BCK-R","BUCK","BCK-R","Australia",7
"2025-10-01","BSH","Blind Shaker","BSH","Hong Kong",1
"2025-10-01","BD1-NP","BIRD Travel Sleeve","BD1-NP","Hong Kong",5
"2025-10-01","UNB-B24","Unibasket","UNB-B24","United States",4
"2025-10-01","MNR-P-S","MOONRAKER™ Spare Needles","MNR-P-S","United Kingdom",2
"2025-10-01","RNT","Really Nice Tamper","RNT","United States",14
"2025-10-01","UNF-2-T","Unifilter","UNF-2-T","Malaysia",4
"2025-10-01","BNPS-B50","BEAN CELLAR SHORTY Bulk","BNPS-B50","Hong Kong",2
"2025-10-01","TPM-N","Leather Tamping Mat","TPM-N","Italy",5
"2025-10-01","RNT","Really Nice Tamper","RNT","Hong Kong",10
"2025-10-01","PSC-B","Spring Clean™","PSC-B","Italy",5
"2025-10-01","RNT-B","Really Nice Tamper","RNT-B","Italy",10
"2025-10-01","BD1_A","The BIRD","BD1_A","Hong Kong",1
"2025-10-01","UNB-B16","Unibasket","UNB-B16","Hong Kong",22
"2025-10-01","UNF-2-R","Unifilter","UNF-2-R","Malaysia",4
"2025-10-01","RNT-B","Really Nice Tamper","RNT-B","Malaysia",10
"2025-10-01","EG1","The EG-1","EG1","Hong Kong",1
"2025-10-01","PH-B","EPF Dock","PH-B","Australia",2
"2025-10-01","BCK-W","BUCK","BCK-W","United States",8
"2025-11-01","BSH-B","Blind Shaker","BSH-B","Australia",16
"2025-11-01","RNT-B","Really Nice Tamper","RNT-B","United States",36
"2025-11-01","TPM-B","Leather Tamping Mat","TPM-B","United Arab Emirates",3
"2025-11-01","EG1-B","The EG-1","EG1-B","Hong Kong",3
"2025-11-01","UNB-B16","Unibasket","UNB-B16","Australia",4
"2025-11-01","BSH","Blind Shaker","BSH","Australia",10
"2025-11-01","EG1","The EG-1","EG1","United Kingdom",2
"2025-11-01","RNT","Really Nice Tamper","RNT","United Arab Emirates",10
"2025-11-01","RNT-OW","Really Nice Tamper","RNT-OW","Switzerland",22
"2025-11-01","MTWRK","Magic Tumbler Wiper Replacement Kit","MTWRK","United Arab Emirates",1
"2025-11-01","UNB-B16","Unibasket","UNB-B16","Switzerland",5
"2025-11-01","EG1-SS","EG-1 Stainless Shaft Spring Wiper","EG1-SS","United Arab Emirates",5
"2025-11-01","MGT-L-B","Magic Tumbler Lid","MGT-L-B","Australia",1
"2025-11-01","EG1-B","The EG-1","EG1-B","Switzerland",7
"2025-11-01","BNP-50","BEAN CELLAR Bulk","BNP-50","United Arab Emirates",2
"2025-11-01","BD1_CAS","BIRD Travel Case","BD1_CAS","Australia",2
"2025-11-01","BNP-10-C","BEAN CELLAR Polymer","BNP-10-C","United Kingdom",4
"2025-11-01","BCK-R","BUCK","BCK-R","Switzerland",9
"2025-11-01","TPM-N","Leather Tamping Mat","TPM-N","Australia",2
"2025-11-01","EPF-58-100","EPF (10,000)","EPF-58-100","Switzerland",1
"2025-11-01","BD1","The BIRD","BD1","United Kingdom",11
"2025-11-01","TSH_BB_XL","Brew Boldy, Tread Lightly T-Shirt","TSH_BB_XL","Australia",2
"2025-11-01","UNB-B20","Unibasket","UNB-B20","United States",17
"2025-11-01","BD1","The BIRD","BD1","United Arab Emirates",2
"2025-11-01","PH-B","EPF Dock","PH-B","United States",6
"2025-11-01","PSC-B","Spring Clean™","PSC-B","Australia",4
"2025-11-01","TSH_BB_L","Brew Boldy, Tread Lightly T-Shirt","TSH_BB_L","Australia",2
"2025-11-01","BSH","Blind Shaker","BSH","United States",43
"2025-11-01","UNB-B20","Unibasket","UNB-B20","United Arab Emirates",2
"2025-11-01","BNG","BEAN CELLAR Glass","BNG","Switzerland",4
"2025-11-01","UNB-B16","Unibasket","UNB-B16","United Arab Emirates",2
"2025-11-01","BSH","Blind Shaker","BSH","Switzerland",7
"2025-11-01","KEY-2-W","The Key","KEY-2-W","South Korea",9
"2025-11-01","BD1-PAPER","BIRD Paper Filters","BD1-PAPER","Switzerland",30
"2025-11-01","BCK-R","BUCK","BCK-R","United Arab Emirates",4
"2025-11-01","KEY-2-B","The Key","KEY-2-B","Hong Kong",4
"2025-11-01","MNR","MOONRAKER™","MNR","Switzerland",1
"2025-11-01","BD1_CAS","BIRD Travel Case","BD1_CAS","Switzerland",10
"2025-11-01","BSH","Blind Shaker","BSH","Hong Kong",3
"2025-11-01","EG1-B","The EG-1","EG1-B","United Arab Emirates",5
"2025-11-01","BD1_CAS","BIRD Travel Case","BD1_CAS","United Arab Emirates",1
"2025-11-01","MNR-U","MOONRAKER™","MNR-U","United States",6
"2025-11-01","KEY-2-B","The Key","KEY-2-B","United Kingdom",1
"2025-11-01","EG1_RFR","EG-1 Refresh Kit","EG1_RFR","United Arab Emirates",1
"2025-11-01","RNT","Really Nice Tamper","RNT","Switzerland",12
"2025-11-01","RNT-OW","Really Nice Tamper","RNT-OW","Australia",2
"2025-11-01","BSH-B-2","Blind Shaker - No Magnet Installed","BSH-B-2","Australia",6
"2025-11-01","UNB-B20","Unibasket","UNB-B20","Australia",4
"2025-11-01","BD1_A","The BIRD","BD1_A","United Arab Emirates",2
"2025-11-01","BCK-W","BUCK","BCK-W","United States",14
"2025-11-01","EG1","The EG-1","EG1","Hong Kong",3
"2025-11-01","RNT-B","Really Nice Tamper","RNT-B","United Arab Emirates",10
"2025-11-01","BSH-B","Blind Shaker","BSH-B","Switzerland",17
"2025-11-01","UNB-B20","Unibasket","UNB-B20","Switzerland",13
"2025-11-01","BD1-PAPER","BIRD Paper Filters","BD1-PAPER","United Kingdom",5
"2025-11-01","RNT-B","Really Nice Tamper","RNT-B","Switzerland",17
"2025-11-01","BNG-B2","BEAN CELLAR Glass","BNG-B2","United States",5
"2025-11-01","PH","EPF Dock","PH","United States",2
"2025-11-01","UNB-B28","Unibasket","UNB-B28","United States",4
"2025-11-01","KEY-2-B","The Key","KEY-2-B","South Korea",16
"2025-11-01","RNT-T","Really Nice Tamper","RNT-T","Switzerland",22
"2025-11-01","RNT-OW","Really Nice Tamper","RNT-OW","United Kingdom",15
"2025-11-01","PS-25","Puck Screens (25)","PS-25","United Arab Emirates",1
"2025-11-01","RNT-B","Really Nice Tamper","RNT-B","Australia",3
"2025-11-01","KEY-2-W","The Key","KEY-2-W","Hong Kong",6
"2025-11-01","EG1","The EG-1","EG1","Switzerland",4
"2025-11-01","MNR-U","MOONRAKER™","MNR-U","Switzerland",1
"2025-11-01","Eg1-DB2","The EG-1","Eg1-DB2","Hong Kong",2
"2025-11-01","MNR","MOONRAKER™","MNR","United States",18
"2025-11-01","RNT-B","Really Nice Tamper","RNT-B","Hong Kong",10
"2025-11-01","UNB-B20","Unibasket","UNB-B20","Hong Kong",10
"2025-11-01","PSC-B","Spring Clean™","PSC-B","Switzerland",10
"2025-11-01","TPM-N","Leather Tamping Mat","TPM-N","United Arab Emirates",3
"2025-11-01","BNF","Bean Funnel","BNF","Switzerland",12
"2025-11-01","MNR-U","MOONRAKER™","MNR-U","United Arab Emirates",4
"2025-11-01","KEY-2-W","The Key","KEY-2-W","Switzerland",1
"2025-11-01","SPC","Spring Clean™","SPC","Switzerland",4
"2025-11-01","BD1-NP","BIRD Travel Sleeve","BD1-NP","United Arab Emirates",4
"2025-11-01","BD1","The BIRD","BD1","Switzerland",10
"2025-11-01","EPF-55-100","EPF (10,000)","EPF-55-100","Switzerland",1
"2025-11-01","EG1","The EG-1","EG1","United Arab Emirates",2
"2025-11-01","BCK-R","BUCK","BCK-R","United Kingdom",3
"2025-11-01","EG1_RFR","EG-1 Refresh Kit","EG1_RFR","Hong Kong",1
"2025-11-01","UNF-2-R","Unifilter","UNF-2-R","United States",2
"2025-11-01","BNP-50","BEAN CELLAR Bulk","BNP-50","United Kingdom",6
"2025-11-01","RNT-T","Really Nice Tamper","RNT-T","United Kingdom",15
"2025-11-01","BD1-NP","BIRD Travel Sleeve","BD1-NP","Switzerland",5
"2025-11-01","BCK-W","BUCK","BCK-W","Switzerland",7
"2025-11-01","BSH-B","Blind Shaker","BSH-B","United States",50
"2025-11-01","PSC-B","Spring Clean™","PSC-B","United States",25
"2025-11-01","BNG-B2","BEAN CELLAR Glass","BNG-B2","Hong Kong",2
"2025-11-01","BSH-B","Blind Shaker","BSH-B","United Arab Emirates",5
"2025-11-01","UNF-2-R","Unifilter","UNF-2-R","United Kingdom",2
"2025-11-01","BNPS-50","BEAN CELLAR SHORTY Bulk","BNPS-50","United Kingdom",4
"2025-11-01","BCK-W","BUCK","BCK-W","Australia",2
"2025-11-01","BNP-B50","BEAN CELLAR Bulk","BNP-B50","United Kingdom",-3
"2025-11-01","EG1-B","The EG-1","EG1-B","United Kingdom",3
"2025-11-01","BCK-R","BUCK","BCK-R","Hong Kong",10
"2025-11-01","SPC","Spring Clean™","SPC","United States",3
"2025-11-01","RNT","Really Nice Tamper","RNT","United States",20
"2025-11-01","BCK-R","BUCK","BCK-R","United States",2
"2025-11-01","MNR-U","MOONRAKER™","MNR-U","Australia",1
"2025-11-01","BNP-10-C","BEAN CELLAR Polymer","BNP-10-C","United States",12
"2025-11-01","RNT","Really Nice Tamper","RNT","Hong Kong",10
"2025-11-01","PSV-100","Puck Savers (packs of 100)","PSV-100","Switzerland",2
"2025-11-01","RNT-T","Really Nice Tamper","RNT-T","Hong Kong",30
"2025-11-01","RNT-OW","Really Nice Tamper","RNT-OW","Hong Kong",25
"2025-11-01","BSH-B","Blind Shaker","BSH-B","United Kingdom",15
"2025-11-01","BSH","Blind Shaker","BSH","United Kingdom",30
"2025-11-01","BNPS-50","BEAN CELLAR SHORTY Bulk","BNPS-50","United Arab Emirates",1
"2025-11-01","BCK-W","BUCK","BCK-W","United Arab Emirates",4
"2025-11-01","RNT-T","Really Nice Tamper","RNT-T","Australia",3
"2025-11-01","CFB","Coffee Brush","CFB","United States",8
"2025-11-01","BNPS-50","BEAN CELLAR SHORTY Bulk","BNPS-50","Switzerland",4
"2025-12-01","BNP-B50","BEAN CELLAR Bulk","BNP-B50","Switzerland",2
"2025-12-01","DB1","EG-1 Burrs","DB1","Hong Kong",1
"2025-12-01","BSH","Blind Shaker","BSH","Italy",10
"2025-12-01","MNR","MOONRAKER™","MNR","Australia",4
"2025-12-01","RNT","Really Nice Tamper","RNT","Thailand",6
"2025-12-01","EGW-3","EG-1 Spare Wipers","EGW-3","Australia",1
"2025-12-01","UNB-B20","Unibasket","UNB-B20","Italy",10
"2025-12-01","EG1-B","The EG-1","EG1-B","Hong Kong",5
